Data,Acao,Valor,Ano
20-03-2017,ALPA3,0.062985,2017
20-08-2018,ALPA3,0.061995,2018
21-05-2018,ALPA3,0.058202,2018
21-11-2017,ALPA3,0.062985,2017
22-02-2018,ALPA3,0.160658,2018
23-11-2015,ALPA3,0.049714,2015
01-10-2015,ALPA4,0.136606,2015
03-01-2022,ALPA4,0.163028,2022
04-11-2021,ALPA4,0.271712,2021
05-03-2018,ALPA4,0.068323,2018
08-09-2015,ALPA4,0.055553,2015
08-12-2015,ALPA4,0.165749,2015
14-03-2016,ALPA4,0.038602,2016
14-08-2017,ALPA4,0.067961,2017
14-11-2016,ALPA4,0.112,2016
15-05-2017,ALPA4,0.065967,2017
15-08-2016,ALPA4,0.057812,2016
16-03-2015,ALPA4,0.049007,2015
16-05-2016,ALPA4,0.031896,2016
17-02-2020,ALPA4,0.055166,2020
18-05-2015,ALPA4,0.0501,2015
20-03-2017,ALPA4,0.06923,2017
20-08-2018,ALPA4,0.068142,2018
21-05-2018,ALPA4,0.063974,2018
21-11-2017,ALPA4,0.06923,2017
22-02-2018,ALPA4,0.176588,2018
23-11-2015,ALPA4,0.054643,2015
02-02-2018,ALUP11,0.194157,2018
07-12-2018,ALUP11,0.16642,2018
12-04-2022,ALUP11,1.137204,2022
16-04-2015,ALUP11,0.960246,2015
16-05-2023,ALUP11,0.115385,2023
17-05-2024,ALUP11,0.21,2024
17-08-2023,ALUP11,0.115385,2023
17-11-2023,ALUP11,0.115385,2023
18-04-2023,ALUP11,1.384615,2023
18-11-2024,ALUP11,0.24,2024
19-08-2024,ALUP11,0.18,2024
22-04-2016,ALUP11,0.672172,2016
22-04-2024,ALUP11,0.78,2024
26-04-2017,ALUP11,0.473821,2017
27-04-2018,ALUP11,0.305104,2018
28-04-2020,ALUP11,0.637944,2020
28-04-2021,ALUP11,0.776627,2021
30-04-2019,ALUP11,0.41605,2019
02-02-2018,ALUP3,0.064719,2018
07-12-2018,ALUP3,0.055473,2018
12-04-2022,ALUP3,0.379068,2022
16-05-2023,ALUP3,0.038462,2023
17-05-2024,ALUP3,0.07,2024
17-08-2023,ALUP3,0.038462,2023
17-11-2023,ALUP3,0.038462,2023
18-04-2023,ALUP3,0.461538,2023
18-11-2024,ALUP3,0.08,2024
19-08-2024,ALUP3,0.06,2024
22-04-2024,ALUP3,0.26,2024
26-04-2017,ALUP3,0.15794,2017
27-04-2018,ALUP3,0.101701,2018
28-04-2020,ALUP3,0.212648,2020
28-04-2021,ALUP3,0.258876,2021
30-04-2019,ALUP3,0.138683,2019
02-02-2018,ALUP4,0.064719,2018
07-12-2018,ALUP4,0.055473,2018
12-04-2022,ALUP4,0.379068,2022
16-05-2023,ALUP4,0.038462,2023
17-05-2024,ALUP4,0.07,2024
17-08-2023,ALUP4,0.038462,2023
17-11-2023,ALUP4,0.038462,2023
18-04-2023,ALUP4,0.461538,2023
18-11-2024,ALUP4,0.08,2024
19-08-2024,ALUP4,0.06,2024
22-04-2024,ALUP4,0.26,2024
26-04-2017,ALUP4,0.15794,2017
27-04-2018,ALUP4,0.101701,2018
28-04-2020,ALUP4,0.212648,2020
28-04-2021,ALUP4,0.258876,2021
30-04-2019,ALUP4,0.138683,2019
16-02-2023,ALZR11,0.777641,2023
17-12-2024,ALZR11,0.8055,2024
18-04-2022,ALZR11,0.731786,2022
18-04-2023,ALZR11,0.787482,2023
18-11-2024,ALZR11,0.775,2024
18-12-2023,ALZR11,0.812544,2023
19-01-2023,ALZR11,0.756521,2023
19-01-2024,ALZR11,0.785514,2024
19-02-2024,ALZR11,0.785514,2024
19-03-2024,ALZR11,0.785514,2024
19-04-2024,ALZR11,0.759339,2024
19-05-2022,ALZR11,0.735631,2022
19-05-2023,ALZR11,0.803439,2023
19-06-2024,ALZR11,0.732368,2024
19-07-2023,ALZR11,0.812544,2023
19-07-2024,ALZR11,0.710785,2024
19-08-2022,ALZR11,0.754823,2022
19-08-2024,ALZR11,0.7575,2024
19-09-2022,ALZR11,5.454853,2022
19-09-2023,ALZR11,0.812544,2023
19-09-2024,ALZR11,0.74571,2024
19-10-2022,ALZR11,0.767929,2022
19-10-2023,ALZR11,0.812544,2023
19-12-2022,ALZR11,0.700309,2022
20-03-2023,ALZR11,0.787482,2023
20-05-2024,ALZR11,0.733987,2024
20-06-2022,ALZR11,0.740441,2022
20-11-2023,ALZR11,0.81156,2023
21-03-2022,ALZR11,0.724048,2022
21-08-2023,ALZR11,0.812544,2023
21-10-2024,ALZR11,0.731999,2024
21-11-2022,ALZR11,0.748232,2022
30-04-2015,AMAR3,0.269227,2015
09-02-2018,AMGN34,0.15296,2018
