Ano,Acao,Valor
2024,BBAS3,2.188257
2015,BBDC3,1.1799399999999998
2016,BBDC3,1.2429799999999998
2017,BBDC3,1.2837039999999997
2018,BBDC3,1.3004980000000004
2019,BBDC3,2.739187999999999
2020,BBDC3,1.0432260000000002
2021,BBDC3,1.6818360000000006
2022,BBDC3,0.7933779999999998
2023,BBDC3,2.1907259999999997
2024,BBDC3,1.4914239999999996
2015,BBDC4,0.652153
2016,BBDC4,0.6836369999999999
2017,BBDC4,0.706037
2018,BBDC4,0.715273
2019,BBDC4,2.0602709999999997
2020,BBDC4,0.573779
2021,BBDC4,0.9250109999999998
2022,BBDC4,0.43635799999999997
2023,BBDC4,1.5000489999999995
2024,BBDC4,0.8202829999999998
2017,BBPO11,1.961848
2022,BBPO11,8.16
2023,BBPO11,9.020000000000001
2017,BBRC11,1.6
2022,BBRC11,8.81
2023,BBRC11,12.989999999999998
2024,BBRC11,13.299999999999997
2015,BBSE3,1.668787
2016,BBSE3,1.673875
2017,BBSE3,1.644669
2018,BBSE3,3.0979780000000003
2019,BBSE3,1.5827110000000002
2020,BBSE3,4.138394
2021,BBSE3,0.996995
2022,BBSE3,1.966093
2023,BBSE3,3.486214
2024,BBSE3,2.6521980000000003
2017,BBVJ11,0.06
2016,BBYY34,1.80978
2017,BBYY34,4.351252
2018,BBYY34,6.6726
2019,BBYY34,2.12795
2020,BBYY34,11.731665
2021,BBYY34,15.42695
2022,BBYY34,18.349760000000003
2023,BBYY34,15.568462
2024,BBYY34,14.709613000000001
2017,BCIA11,1.4
2022,BCIA11,6.63
2023,BCIA11,9.66
2024,BCIA11,10.34
2017,BCRI11,1.3
2022,BCRI11,9.96
2023,BCRI11,9.62
2024,BCRI11,9.29
2015,BDLL4,5.84
2017,BEEF3,0.259896
2020,BEEF3,0.257832
2021,BEEF3,1.1213890000000002
2022,BEEF3,0.56155
2023,BEEF3,0.550902
2015,BEES3,0.16595500000000002
2016,BEES3,0.192147
2017,BEES3,0.18098200000000006
2018,BEES3,0.24986000000000008
2019,BEES3,0.3128500000000001
2020,BEES3,0.20602800000000004
2021,BEES3,0.33257900000000007
2022,BEES3,0.584989
2023,BEES3,0.6325230000000001
2024,BEES3,0.685943
2015,BEES4,0.16595500000000002
2016,BEES4,0.192147
2017,BEES4,0.19680900000000004
2018,BEES4,0.24986000000000008
2019,BEES4,0.3011380000000001
2020,BEES4,0.16082500000000002
2021,BEES4,0.33257900000000007
2022,BEES4,0.584989
2023,BEES4,0.6325230000000001
2024,BEES4,0.685943
2015,BGIP3,1.0607710000000001
2016,BGIP3,0.221561
2017,BGIP3,3.8340229999999997
2018,BGIP3,1.5641919999999998
2019,BGIP3,0.700233
2020,BGIP3,0.703622
2021,BGIP3,1.12829
2022,BGIP3,0.993807
2023,BGIP3,3.3968920000000002
2024,BGIP3,2.182109
