"Ticker","Nome","Negócios","Última (R$)","Variação"
"ZAMP3","Zamp","604.300","2,66","-1,48%"
"BMOB3","Bemobi","585.200","14,50","-2,23%"
"ABCB4","Banco ABC Brasil","584.400","19,72","-1,55%"
"RANI3","Irani","568.500","7,27","-1,62%"
"SEQL3","Sequoia Logística","561.300","1,98","-2,46%"
"SOJA3","Boa Safra Sementes","537.600","10,03","-0,20%"
"LAVV3","Lavvi Incorporadora","536.700","8,60","+0,35%"
"MDIA3","M. Dias Branco","532.800","22,46","-1,45%"
"ESPA3","Espaçolaser","516.900","0,71","+4,41%"
"MTRE3","Mitre Realty","508.100","3,04","-0,65%"
"BMGB4","Banco BMG","490.700","3,86","+0,78%"
"FIQE3","Unifique","490.400","3,38","+0,00%"
"MELK3","Melnick","480.900","3,74","+1,08%"
"BRBI11","BR Partners","470.800","12,92","-0,62%"
"JSLG3","JSL","468.800","5,39","-1,28%"
"FESA4","Ferbasa","468.300","7,46","-1,19%"
"HBOR3","Helbor","463.900","1,46","-3,95%"
"LPSB3","Lopes","461.700","1,17","-7,14%"
"VLID3","Valid","452.600","25,72","+0,86%"
"TRIS3","Trisul","438.000","5,58","-1,76%"
"PTBL3","Portobello","416.800","3,56","-2,47%"
"TFCO4","Track & Field","409.400","9,82","-1,11%"
"SEER3","Ser Educacional","408.700","4,21","-3,44%"
"TUPY3","Tupy","396.800","20,60","-0,15%"
"PINE4","Banco Pine","396.300","4,36","+1,40%"
"KLBN3","Klabin","377.400","4,04","-5,39%"
"SHUL4","Schulz","369.600","5,90","+2,25%"
"BRST3","Brisanet","347.300","2,63","-1,13%"
"ORVR3","Orizon","325.600","41,62","-0,83%"
"VITT3","Vittia","316.000","5,35","+1,71%"
"ENJU3","Enjoei","308.300","1,25","-3,85%"
"PNVL3","Dimed","299.300","8,20","+2,24%"
"AERI3","Aeris Energy","293.700","4,25","-1,62%"
"LIGT3","Light","286.600","4,03","-0,98%"
"FRAS3","Fras-le","264.500","23,77","-0,50%"
"SAPR3","Sanepar","259.900","5,70","+2,15%"
"BLAU3","Blau Farmacêutica","257.900","12,42","-1,43%"
"DESK3","Desktop","257.100","8,18","-2,85%"
"USIM3","Usiminas","247.900","5,66","-3,25%"
"LOGG3","LOG CP","240.200","18,31","+0,22%"
"MEAL3","IMC Alimentação","226.600","0,95","-1,04%"
"SANB3","Banco Santander","225.600","11,95","-3,71%"
"LEVE3","Mahle Metal Leve","218.900","27,61","-0,47%"
"PRNR3","Priner","213.900","16,37","+0,49%"
"OPCT3","OceanPact","211.000","5,51","-0,90%"
"TASA4","Taurus","190.200","7,99","-1,24%"
"BOBR4","Bombril","184.200","1,56","+2,63%"
"PFRM3","Profarma","181.700","6,75","+2,12%"
"VIVR3","Viver","173.100","1,17","+1,74%"
"ITSA3","Itaúsa","172.500","9,10","-1,19%"
"UNIP6","Unipar","163.200","45,47","-1,52%"
"AGXY3","AgroGalaxy","151.500","0,53","+0,00%"
"LUPA3","Lupatech","149.700","1,24","+0,00%"
"MBLY3","Mobly","147.800","1,39","+0,72%"
"RNEW4","Renova Energia","147.300","0,83","-4,60%"
"AMBP3","Ambipar","142.600","125,17","+2,85%"
"ELMD3","Eletromidia","141.300","29,83","+0,27%"
"TGMA3","Tegma","138.400","32,30","-1,55%"
"TAEE4","Taesa","138.300","10,97","-0,72%"
"SANB4","Banco Santander","136.600","13,37","-3,05%"
"AALR3","Alliança","129.800","11,60","-4,37%"
"VTRU3","VITRUBREPCOM","128.900","5,66","-5,03%"
"LOGN3","Log-In","125.400","21,75","-1,14%"
"ROMI3","Indústrias ROMI","122.800","9,28","-1,80%"
"TECN3","Technos","110.800","5,26","-1,87%"
"SHOW3","Time For Fun","108.800","0,77","+6,94%"
"CSUD3","CSU Cardsystem","108.500","16,75","+1,52%"
"AZEV11","Azevedo & Travassos","102.600","0,24","-4,00%"
"BRKM3","Braskem","97.400","10,86","-6,94%"
"PMAM3","Paranapanema","94.100","1,07","-3,60%"
"ALPK3","Estapar","89.000","2,96","+0,68%"
"KRSA3","Kora Saúde","84.700","8,73","+0,11%"
"EUCA4","Eucatex","80.800","12,25","-0,41%"
"PDTC3","Padtec","80.200","1,26","+2,44%"
"DEXP3","Dexxos","77.500","7,96","-3,05%"
"CAMB3","Cambuci","76.100","10,30","-0,39%"
"RNEW3","Renova Energia","73.500","0,84","+0,00%"
"DMVF3","D1000 Varejo Farma","71.100","5,57","-1,94%"
"TAEE3","Taesa","70.500","10,94","-0,09%"
"ALLD3","Allied","69.400","6,90","-0,72%"
"SCAR3","São Carlos","66.900","18,77","+4,92%"
"VSTE3","LE LIS BLANC","54.900","6,90","+6,15%"
"ALPA3","Alpargatas","53.300","6,50","+4,00%"
"IGTI3","Jereissati Participações","47.000","2,08","-3,70%"
"IGTI3","Iguatemi","47.000","2,08","-3,70%"
"CMIG3","Cemig","45.200","15,44","-1,03%"
"GOAU3","Metalúrgica Gerdau","43.300","9,33","-0,11%"
"ETER3","Eternit","40.700","5,40","-0,92%"
"INEP3","Inepar","40.300","1,49","+2,76%"
"BIOM3","Biomm","39.500","9,69","-3,10%"
"RSID3","Rossi Residencial","39.300","3,00","-4,76%"
"BRAP3","Bradespar","37.300","15,55","-0,32%"
"TCSA3","Tecnisa","36.700","1,35","-0,74%"
"FICT3","Fictor Alimentos","33.200","4,52","+0,89%"
"UCAS3","Unicasa","32.800","1,44","+2,86%"
"CEBR6","CEB","31.900","17,90","+1,70%"
"NGRD3","Neogrid","28.400","21,76","-3,72%"
"ENGI4","Energisa","27.900","6,79","-0,44%"
"DASA11","DASA11","27.200","0,24","-20,00%"
"TRAD3","Traders Club","24.600","5,20","-4,59%"
"TPIS3","Triunfo","21.400","4,36","+0,93%"
"FHER3","Fertilizantes Heringer","20.600","5,25","-2,42%"
"OIBR4","Oi","18.500","8,26","+2,48%"
"LVTC3","WDC Networks","18.300","2,20","-0,90%"
"LAND3","Terra Santa","18.200","15,70","-0,63%"
